findDealer,bpFinish,vehQuote,bpStart,tradeIn,incView,quickQuote,searchInv,testDrive,paymentEst,clickCall,avgPageVis,avgSiteTime,naturalSearchVis,bookmarkedVis,paidSearchVis,bannerVis,vehHomeVis,galleryVis
1123,11058,167,1309,26,5067,71,2316,9,12585,5,4.606757012,439.0061804,15189,19257,15022,35255,15049,1935
1571,9384,189,1152,38,5393,74,2491,17,12835,23,4.562639085,448.8102833,14130,20497,14794,35150,15636,1850
1573,12045,192,1111,19,5034,106,2384,27,12489,16,4.558767803,448.0658521,14638,19077,13762,33187,15547,1816
1667,13331,163,15023,33,4701,71,2254,18,11669,21,4.471405229,446.1339784,14159,17976,13446,32131,14683,1720
1510,16845,166,18439,20,4688,77,2163,15,11511,26,4.491407157,436.8116801,14034,18685,13321,30646,13503,1761
1433,15677,246,15878,25,4145,56,1979,18,10072,27,4.347390367,426.8355825,13764,17586,12458,30745,13963,1727
975,15821,178,15692,22,4227,61,1833,7,9712,24,4.358545189,430.9242484,13179,16338,12537,31085,13400,1723
1020,17736,134,17349,13,4788,60,2191,7,11128,4,4.572150387,442.9502317,14664,17289,13729,32292,14597,2046
1650,18726,173,18829,25,5062,65,2563,15,12350,28,4.560294401,439.4194637,15821,20240,14348,32544,15615,1918
1531,17941,208,18121,33,4807,75,2294,14,12353,12,4.53368808,445.7550642,15148,18823,13486,33403,15215,1896
1419,17422,250,17609,28,4488,64,2287,7,11483,14,4.487687627,436.3375549,14757,18510,12839,32883,15301,1781
1255,16813,161,16929,20,4578,82,2158,20,11005,16,4.369748279,432.1999319,14383,19769,12365,32447,15724,1840
1212,16325,239,16431,31,4089,65,2042,12,10599,33,4.391025119,431.8865807,14667,19088,12164,31033,15187,1768
943,15965,254,15429,11,4190,51,1993,5,9795,12,4.433550717,441.178265,13746,17891,11756,29572,14088,1695
1081,17065,146,16604,19,4244,51,2092,9,10650,6,4.575250636,442.4884239,14373,17292,12504,31139,15102,1873
1530,14373,179,17774,43,4704,81,2320,8,11736,14,4.528631942,445.6572993,14917,18991,12866,32700,15335,1882
1433,11204,179,16880,25,4222,103,2201,29,11139,26,4.49379249,442.7529682,14483,17997,12766,30359,14670,1698
1554,10298,137,15728,26,3992,67,1905,7,10139,15,4.466026633,441.2113555,13859,18070,12592,27847,13395,1698
1773,10831,121,16450,27,4277,74,2016,21,10356,15,4.160219406,411.5893861,13908,19898,12368,26409,13282,1813
1146,10201,155,15543,31,3764,52,2026,14,9651,8,3.944582246,411.4070057,13519,18743,11948,33924,13796,1641
910,12009,144,17267,18,4424,59,2124,6,10719,11,4.353402626,449.8695232,14509,18873,13724,33368,13820,1882
1034,11388,149,16582,16,4430,48,1837,2,10084,3,4.447861382,437.5759894,14338,17085,13640,30755,13109,1728
1373,10369,145,15923,21,4957,74,1916,14,9889,20,4.381906754,435.0494971,13770,18185,13163,27278,13658,1677
1802,10805,142,16068,24,4717,49,1907,23,10677,16,4.219917999,423.3809265,13438,19993,13445,29622,12338,1560
1498,10165,132,15473,18,4297,45,1561,6,9440,13,4.540606811,445.1546647,14003,18592,11209,23623,10655,1411
1349,9657,150,14732,33,4059,73,1874,18,9554,13,4.198027389,421.3809501,12454,17347,12482,27476,11621,1591
1159,9288,131,14114,25,3809,64,1739,9,8912,17,4.240156967,413.4643279,12329,16257,12370,25637,11013,1550
808,9453,126,14272,11,3929,66,1676,7,8760,16,4.196062676,419.7464117,12961,16056,12363,25932,11399,1682
877,9809,126,14385,22,4435,58,1715,6,8610,3,4.327845738,420.5604444,12618,15101,12479,26485,11465,1597
1092,11355,174,16018,46,4619,75,2104,27,10606,5,4.420658469,432.4222761,13673,17020,13664,29399,11841,1714
1572,10042,150,15624,15,4191,95,1946,23,9723,35,4.507206101,433.2990365,13003,17067,12590,24694,10550,1558
1616,9678,141,15056,27,4092,55,1949,14,9991,14,3.796670894,419.0095081,12679,17529,13501,40136,11537,1574
1509,9767,155,15023,26,4017,49,1960,14,9810,25,3.897188299,398.6068507,12716,16734,13079,33728,11745,1497
1697,12131,195,18424,36,4250,74,2604,12,10106,21,4.325352269,407.4041165,12094,16072,12541,27388,11410,1545
1203,10927,149,16368,28,4150,52,2184,10,9669,18,4.311310322,411.4446419,12788,14820,12702,29492,11993,1586
1318,10506,129,15500,24,4729,40,1858,5,9113,5,4.707236303,430.2268515,14345,16709,13401,27628,12400,1825
1802,10699,136,16709,26,4199,62,2137,14,9830,26,4.426260816,418.0376268,14304,17542,13924,26161,13101,1606
1718,10347,112,15965,34,4137,64,2075,35,9729,15,4.308469568,417.0286838,13620,16509,13659,28572,13764,1535
1710,9892,110,15334,22,4054,51,2046,6,9464,19,4.183233562,415.187584,13296,18031,12976,27573,15951,1513
1517,9878,133,15138,34,3917,72,1981,13,9361,15,4.080897685,411.5324422,13732,17182,13131,28818,14388,1602
1406,9250,118,14528,28,3978,59,1836,4,8528,33,4.126447996,404.599654,13790,15367,12829,27739,14011,1539
1122,10167,136,15155,20,4001,50,1867,14,8529,6,4.160158964,412.6968677,13742,16611,13038,26487,13295,1615
1151,10197,145,15264,23,4016,48,1874,11,9220,3,4.228686539,406.6051198,14121,16215,13509,27840,13949,1668
1842,9878,132,15557,30,4122,71,1883,7,9606,18,4.181863815,401.9586189,14544,17330,13730,27416,14355,1504
1421,9642,163,15306,30,4134,136,1947,32,9164,19,4.168762298,411.9995299,14960,20528,13404,22160,13543,1552
1446,9815,114,15536,20,4043,49,1662,7,8995,23,4.207873786,404.6951423,14354,16259,13779,26046,13577,1573
1424,9066,136,14729,17,4138,41,1329,10,8307,23,3.964033353,397.6100602,13456,17002,13148,29852,14872,1586
1274,8959,153,14433,23,3710,38,1472,4,7900,3,4.119827212,399.6455766,13385,15563,13181,25486,13301,1694
1035,9676,144,15132,23,4125,46,1850,5,8528,16,4.276636982,406.7669307,13882,14718,13699,26520,13521,1845
1017,10206,111,15487,29,4045,45,1905,4,8784,7,4.27014642,406.3846346,14634,15485,14058,27669,13718,1911
1362,9566,147,15553,18,4147,57,1986,8,9193,14,4.278823616,403.7422277,14122,16084,13730,26525,13787,1694
1346,9297,111,15582,17,3458,34,1672,9,8690,15,4.211791721,408.7589862,14568,16790,12225,26808,12745,1566
1315,9044,96,15383,11,3618,31,1623,9,8318,18,4.113653057,394.5274954,13471,17276,14109,27648,13476,1569
1323,8786,102,14995,13,5074,17,944,4,9255,19,4.40741458,384.3687036,13488,17082,13371,19510,11820,1413
1063,7491,87,13065,22,3853,21,655,11,6870,18,4.198565441,380.1379601,12496,15010,12072,20121,12210,1388
905,7917,84,13151,18,3468,22,1093,5,6822,11,4.266729684,392.1381211,12387,14948,12183,19348,11374,1572
959,9117,69,14807,12,3740,12,1505,5,8039,20,4.504644722,405.0291315,13213,14106,13251,20823,11509,1671
1270,7744,82,13403,25,3495,41,1396,5,7490,25,4.361974684,385.7582857,12420,14772,12424,18403,10969,1485
1071,7194,93,12540,16,3073,40,1276,13,6864,18,3.971075533,384.162817,12992,15727,11012,22485,10718,1367
1182,7571,69,12980,15,3250,30,1372,10,7101,18,4.085900765,381.8822668,12911,15572,12002,21295,9801,1436
1388,11015,178,18400,41,3814,35,1973,2,8382,20,4.364995623,373.7054135,14390,15972,13186,20192,9479,1524
1136,8193,97,13879,27,3055,37,1568,23,7090,16,4.224801249,388.3111669,12791,15711,11694,18478,9488,1441
1085,8052,80,13281,19,3128,24,1385,3,6752,20,4.510174724,395.4667896,12704,12682,12502,15926,9653,1520
3423,8142,74,13209,10,3058,17,1280,6,6485,2,4.567809071,394.1690622,12925,12769,12403,16079,9663,1532
772,8258,85,13473,19,3273,33,1367,3,7074,5,4.486996728,380.1101294,13290,13908,12533,17742,9302,1436
1353,8257,75,14165,23,3475,32,1452,3,6977,29,4.505802239,388.8051745,14019,15049,12064,16609,9452,1412
1244,7827,67,13778,20,3077,32,1449,5,6789,28,4.093758101,382.8489738,13646,16173,11641,21210,8940,1618
1189,7831,93,13743,17,3192,34,1408,1,6644,18,4.328892157,380.4055076,14051,16294,12134,17829,9363,1561
1027,7892,78,13497,13,3263,23,1451,1,6644,21,4.342227788,390.722244,13570,16888,11971,16783,8941,1545
743,8370,70,13700,18,3229,34,1300,3,6606,8,4.341005567,388.2612369,13867,15674,12378,18358,9296,1719
795,9053,80,14445,26,3737,34,1467,5,7211,3,4.532380749,399.9487089,14697,14258,12783,20552,9248,1692
1489,8513,113,14539,14,3744,99,1513,20,7219,16,4.468579485,388.0065846,16131,16847,13231,19230,9622,1791
1212,8574,146,14470,18,3495,29,1424,6,7140,15,4.460744657,378.520534,16039,15506,12786,20791,9452,1690
1212,8612,93,14421,27,3400,52,1427,12,7070,28,4.479654074,385.8009047,16186,17282,12743,21433,9353,1686
1329,10044,118,16981,37,3557,34,1580,5,7553,38,4.631596896,377.4437754,15742,25246,11621,23099,9371,1693
1131,13831,153,16146,22,4124,36,605,4,9694,30,8.390265747,454.6075401,18065,21597,11196,16615,9769,1924
783,9883,111,11775,14,4493,7,583,1,6711,12,7.017621145,426.468378,17340,16014,12542,16911,10646,2124
697,10957,145,15637,12,2919,10,1049,4,7814,3,6.672572278,415.3744643,19051,15508,12712,23140,10604,2044
1368,12396,180,17831,18,3332,37,1369,18,9371,23,5.888785047,409.8554735,18063,17979,11032,29062,11651,1665
1468,11979,156,17336,16,3348,35,1251,8,9051,17,5.86745674,421.7577651,16522,16419,10624,29621,15161,1559
1095,10333,98,15692,19,3213,25,1277,5,8069,13,5.514776337,415.4146185,15517,16827,10129,25518,13416,1455
1063,10255,88,15388,14,3046,63,1300,11,7970,7,4.900028903,400.6801744,15631,17916,9741,31125,17639,1530
951,9223,79,14267,16,2640,29,1128,12,6702,14,4.812403621,395.9203066,14495,16969,9092,30692,16977,1448
709,8856,165,13673,19,2653,29,955,3,6542,9,4.718674667,398.0484543,13351,15640,9733,29424,15045,1519
735,10904,186,15943,21,3460,43,1310,20,8060,2,4.88983757,402.46647,16514,18641,10394,33041,12561,1813
1095,9653,154,15112,16,3257,38,1256,6,7445,24,4.805505773,387.136676,14996,17570,10732,30977,11086,1592
1058,8505,197,13320,30,3516,52,3131,17,6834,8,3.910579679,386.9777163,14277,18008,10163,28342,10558,1475
944,8009,230,12926,16,2545,21,2704,5,6341,13,3.943727523,385.7304109,13298,16983,9327,23306,10016,1344
873,8556,291,13488,17,2601,37,2858,6,6573,12,3.926002165,384.5168154,13526,17858,9999,25378,10161,1458
980,8081,212,12907,7,2410,35,2890,7,6371,8,3.969195487,384.61405,12692,16140,9924,23715,9785,1439
693,9375,319,14292,10,2586,19,2983,3,6942,8,4.086470787,396.042192,13668,15657,10319,26696,11024,1537
647,10084,257,15082,7,2416,21,3073,4,7609,3,4.220355809,396.3321745,14695,16081,10422,27126,11146,1619
1008,9410,267,14966,15,2830,37,3078,1,7469,13,4.10935581,389.5744978,14265,16662,11328,26566,12168,1570
1038,9222,158,14790,12,2638,31,3318,4,7214,8,4.003787499,394.6064463,13885,17592,11086,28474,12441,1539
1546,10047,159,15035,16,2676,37,3155,4,7446,12,4.076821208,389.7794899,14550,16364,11690,26739,12142,1668
1046,9044,115,14243,19,2773,34,2909,1,6683,6,3.966296364,388.8501421,13742,16008,11105,26926,12061,1604
870,8723,87,13655,11,2685,38,2858,2,6533,20,3.941974926,390.3913919,12664,16011,10814,26566,11708,1408
665,9701,70,14558,17,2802,18,2941,2,6614,15,4.10817822,397.1009196,13545,15272,11314,26982,12076,1595
681,10299,85,14895,19,2824,16,3121,3,7291,2,4.150588235,406.6389523,14138,15485,11424,28424,12405,1626
967,9112,111,14284,20,2767,32,3001,11,6972,14,3.949265127,391.6644502,14453,16790,10662,28788,12647,1570
1009,8652,91,13940,16,2593,86,2796,27,6846,28,4.122555179,400.1285513,13503,16502,10204,24534,11606,1355
961,8499,102,13511,20,2407,44,3024,1,6451,17,3.955223094,392.2439044,13136,16898,9860,27673,11936,1379
918,8713,74,13779,11,2560,40,3048,12,6538,12,3.910942294,392.3440854,13084,18180,9926,25004,11847,1362
790,9005,91,14590,13,2449,37,3279,3,6901,13,3.954750347,377.6834232,12257,16376,9646,27087,13230,1216
588,9456,126,14472,4,2076,30,3247,4,6858,12,4.060764077,398.5347785,12499,14613,10228,28130,13486,1425
674,9658,79,14304,10,2216,29,3406,1,7056,5,4.016626169,396.2977286,12901,14991,10633,29089,13649,1408
2426,9141,104,14358,21,2496,47,3483,5,7107,25,3.976652399,395.2857181,12958,16217,10080,28066,12574,1316
947,11387,160,18262,17,2094,64,2892,10,8867,9,4.389252268,472.0755218,13042,17097,10204,26164,17282,1360
1036,10889,98,17787,21,1890,22,3187,4,8267,6,4.270918803,479.0794384,12636,17038,9822,24863,17421,1351
867,10225,72,16632,19,1940,31,2820,2,7322,15,4.035580826,459.8651255,12219,18213,9854,25720,17690,1363
934,10194,100,16575,16,1935,20,2814,6,7217,5,3.955902691,461.4153399,11937,17251,9053,23302,16569,1491
771,10915,76,16915,18,2712,30,2685,5,7474,10,4.216159324,463.6480985,12555,15496,9854,23339,16272,1528
606,11219,139,16647,25,2772,26,2785,2,7593,1,4.287558935,458.2805937,13231,14973,9890,23504,16250,1510
888,9537,77,15188,19,2630,21,2405,5,7287,12,4.162570802,464.6587631,11543,16965,8572,20190,12984,1272
954,8689,88,13506,21,4496,54,3292,19,7334,12,4.603889554,445.4249139,11724,18002,8965,16800,11219,1247
990,9832,101,15614,12,3001,38,2880,6,7604,15,4.311381838,465.441939,11083,15014,8666,25852,12829,1211
842,9477,90,15249,15,2693,37,3275,3,7064,8,3.983267594,459.3016786,10727,16893,8166,28392,15637,1195
824,9285,91,15024,10,2441,24,3076,5,6737,29,4.241491938,463.8997918,12906,15426,5961,20164,12024,1108
774,14920,196,22794,27,3630,54,4796,6,9269,8,4.607421851,448.1032065,13369,16446,7143,25023,13180,1346
918,9163,22,15551,11,2402,5,3036,1,6437,2,5.269627305,444.6036857,14103,14809,5382,16946,11399,1149
1206,14613,179,22700,31,2854,43,4407,9,9750,19,4.829836049,444.7380816,15185,25289,7622,18749,12894,1284
1043,11517,125,19314,30,2979,54,3776,20,7970,17,4.995386816,477.5478431,14143,17995,7370,16936,11378,1300
876,10239,119,16903,17,2806,45,3904,9,7574,11,4.524074131,459.8839653,13079,18114,7266,18048,12818,1218
963,10110,98,16911,11,2699,31,3783,7,7614,8,4.394502075,457.3063153,13379,19104,7117,19523,13555,1273
807,9692,93,15565,14,2534,27,3676,6,7195,9,4.265255764,444.6984313,13442,19117,6782,19295,12872,1170
608,10975,110,16801,14,2863,28,4282,7,7946,12,4.649443151,470.6051817,14042,16166,7402,18909,14001,1277
712,11558,111,17777,20,2868,33,3935,8,8550,7,4.735715818,453.8218171,15206,16268,7902,18286,12819,1420
877,10058,75,16360,17,2491,21,3785,3,7643,16,4.439313592,448.0722661,13684,17079,7839,17523,10523,1066
1180,11457,109,18570,26,3065,34,3848,14,8573,16,4.741289785,442.2916598,15015,17412,7691,14772,10394,1132
1062,10543,120,16772,32,3280,114,4039,28,7964,19,4.585781796,470.1813475,14107,21421,6885,11614,10026,1271
1045,12672,130,19997,15,3352,28,4106,10,8486,24,4.279413518,451.7590447,13808,20269,6653,19877,10586,1232
958,10565,134,16566,22,3090,34,3475,8,7439,14,4.473586148,462.1701507,13078,18895,6692,12400,9622,1154
640,11413,99,17038,8,3177,32,3692,10,7934,8,4.817268941,468.5868914,14593,18575,6587,10848,9695,1309
588,10871,106,15984,10,2591,27,3459,6,7548,8,4.817012754,463.9138913,13655,17589,6686,10640,9161,1225
931,9724,83,15514,15,2845,37,3351,10,7296,20,4.417074936,452.6458518,13068,19213,6384,11836,10017,1094
861,9954,93,15649,18,2818,40,3226,17,7143,7,4.13222677,453.1788667,12951,17554,7519,19976,9150,1135
758,9265,85,14587,16,2592,14,3047,8,6551,4,3.763542964,443.1739173,12406,19815,6819,23882,9609,1666
486,7763,85,11896,13,2026,26,2453,2,5279,4,4.174895919,429.7640703,10429,15971,6178,10390,8526,877
416,7354,47,11306,9,2133,12,2241,3,4883,0,4.210524101,429.5274898,9920,14996,6002,10679,7851,906
682,9322,74,13771,26,2766,21,2824,4,6467,3,4.578247128,450.7209687,11782,16741,7240,9914,8954,1082
655,10077,76,14887,7,3124,26,3434,3,6975,1,4.77209123,453.8087079,12982,16238,7662,10190,9517,1161
866,11628,100,17161,11,3416,50,4191,4,7916,25,4.776117484,461.8250674,14467,20051,8493,10193,9758,1305
1045,12140,125,18018,16,3423,43,4136,6,8638,16,4.831090552,453.9865781,15652,19413,8500,11164,9873,1343
814,11597,105,17267,14,3197,28,3973,8,8145,11,4.605462729,460.75977,15558,20320,7545,12819,9547,1398
587,9382,78,14474,6,2618,12,3005,11,6086,7,4.612712701,445.8770238,12930,18243,6897,7248,7739,1171
610,9949,66,14773,10,998,17,3235,5,7024,5,5.566726257,483.6160581,12895,15739,7951,1980,5884,1038
876,8073,54,13510,8,1003,17,3392,2,5762,5,5.629747747,447.3932729,14499,13641,8962,2160,6526,1177
624,9606,69,14598,11,917,18,3579,6,7140,3,6.025310137,478.8512044,13190,11984,8025,1507,5964,1078
1160,11251,109,17369,13,1208,21,3449,5,8485,22,5.480002247,449.9940412,18131,14938,7559,6204,7545,1330
1072,10991,81,16937,9,1182,24,3601,3,8653,12,5.662042754,462.6669664,17435,14622,7745,5207,8231,1329
891,10501,105,15876,11,792,23,3418,5,7717,9,5.145016942,442.2863742,15391,12384,8123,12044,8185,1267
1002,11299,96,17006,22,932,16,3537,3,8008,11,5.339037885,453.4452894,16636,13000,8505,9419,8274,1376
1007,11966,97,17744,10,835,31,3822,6,8318,8,4.263837087,451.914378,18308,13127,8194,30174,8880,1973
782,14675,101,20463,14,920,29,4283,3,9209,10,5.27263894,468.9254619,21737,13994,8790,13857,10077,1768
848,14834,91,20693,14,1098,22,3530,2,9440,4,5.820880013,445.8776672,22110,13555,9263,8995,10244,1627
1218,13584,113,20237,12,997,31,3935,3,9494,19,5.587672394,465.1953196,20480,15489,9153,8216,9548,1526
1170,13482,134,19681,22,2473,86,4433,24,9934,8,4.939590472,430.7277843,19816,23405,8659,11633,9041,1645
1057,12953,110,18814,14,1289,48,4353,11,9214,14,5.390639939,454.8290005,18230,17207,8537,7586,8989,1493
1073,13167,108,19096,20,1061,45,4065,2,8903,7,5.347362993,449.7255134,17596,17083,10283,8918,9310,1514
1425,12864,120,18725,22,880,39,4022,4,8545,17,5.510809877,467.1350374,17214,14230,10451,7670,9587,1712
938,14933,128,20890,14,1053,55,4575,5,9776,5,5.827314659,467.6016927,19930,13446,11986,8951,10845,1819
774,14263,87,19743,16,942,39,4127,4,8963,5,5.706532866,457.1550191,19443,12030,11582,8953,10134,1584
1581,13627,121,20564,13,990,27,3988,2,9438,16,5.489581841,454.6431646,19721,14468,11277,8992,9747,1515
1221,13996,159,20383,33,983,71,4393,10,9675,9,5.623403289,474.0480762,17608,14359,11188,8063,9412,1472
981,13789,134,19679,7,1855,47,3982,10,9619,15,5.716680122,480.0283116,16938,14310,10547,7113,8868,1327
1272,14688,113,21056,17,3111,53,4566,3,9460,12,5.778563093,475.63832,19012,14855,10985,7157,9696,1537
1020,13971,112,20044,15,2938,37,3983,4,9137,18,5.646232871,472.7485203,18054,14092,10503,7818,9514,1549
833,15583,138,21681,14,3325,39,4310,4,9742,14,5.967028782,486.0755411,18970,13640,11869,7206,9961,1654
889,16171,143,22193,20,3418,38,4726,6,10147,6,5.983622781,463.759594,20305,13466,12307,8204,10169,1746
1286,13841,141,20437,17,3142,66,4696,15,9564,24,5.265682994,482.3011872,17124,15119,11181,13454,8963,1448
1695,14718,120,21286,29,3449,80,4670,5,9974,8,5.201976244,436.3901679,17247,15960,11076,10350,9296,1521
1295,13017,159,19275,16,3023,39,4127,6,8708,14,5.204518317,472.4447654,15487,15803,10734,8305,8527,1449
1080,13048,116,19562,12,2920,32,4027,16,8814,16,5.26741795,458.9021777,16037,14782,11148,10042,9074,1432
1074,13566,120,20317,37,6952,49,4415,7,9173,9,5.173770342,448.0186122,15336,14300,10901,8936,8649,1711
895,15345,146,21703,20,6604,52,5047,6,10125,19,5.45458734,462.3320799,16800,13397,12389,10168,9493,1884
840,14375,138,20512,21,4167,37,4503,7,10012,12,5.640768129,474.7628251,17097,12302,12554,8721,8760,1545
1282,12727,136,19406,18,4027,64,4304,11,9655,31,5.090693994,470.8981377,15938,14968,11308,12150,7773,1299
1237,12547,117,19077,16,4965,78,4441,18,10178,17,5.169693067,480.3856484,14846,15156,10608,13985,7928,1896
990,12418,119,20183,21,4465,52,4027,8,9417,5,5.374692489,464.7558027,15836,15230,10716,10477,8270,1258
1143,12642,120,20115,15,4234,44,4382,4,9479,9,4.575399828,459.3796264,16117,15592,11071,24048,10701,1503
1154,12616,136,19234,12,4112,64,4407,7,8855,10,5.106000124,452.3375984,15870,14970,10908,14238,8024,1371
891,14821,127,21736,19,4519,49,4910,6,10225,6,5.129845873,473.9572587,17562,16012,12439,17228,9162,1501
835,16507,124,23608,22,4700,43,4779,13,10719,3,5.246785502,449.6328372,21472,15695,13225,17964,10725,1692
1177,13829,156,21188,16,4597,50,4615,7,9686,18,4.470240924,457.1954304,18226,17229,11779,27345,16014,2184
1570,13582,134,19214,24,4411,65,5119,15,9921,10,4.61209872,465.4240202,17195,20118,11760,22031,11933,1429
1086,14159,148,19826,15,4353,73,5272,9,10141,20,4.179624636,455.8630935,17183,18743,12091,34905,15240,1553
1292,20057,114,20428,13,4187,50,4965,5,10453,11,4.588061647,459.8171714,16979,18768,12012,24243,13380,1404
1289,24948,150,22190,20,4364,57,5179,6,11225,12,4.67044744,458.3363407,16612,17556,11725,24724,12587,1455
993,29258,141,24080,18,4726,54,5437,7,12746,14,4.994917392,467.4533882,18614,17521,13043,23930,12355,1735
1032,27025,115,22118,27,4509,49,5148,11,11449,3,4.828342419,451.1280993,18073,16016,11904,25430,13750,1521
1352,32439,196,27263,22,5591,64,6265,8,13478,8,4.872908885,443.1790961,20679,16747,9615,28686,15067,1919
1406,27416,203,24724,29,4989,91,5698,14,11784,7,4.653747313,449.3803367,18172,17258,8563,24776,13616,1732
1546,24456,191,22540,18,4564,62,4662,6,11013,4,4.226612461,435.7899972,18953,18309,7723,28798,10377,1425
1455,24846,134,22386,25,4131,38,5351,4,10927,17,2.960893284,452.5361052,19850,18347,7108,89335,12620,1416
1524,24818,112,22522,16,4097,33,5186,4,11234,15,4.125052668,454.6142231,19928,16924,7417,38099,11083,1468
1112,29009,134,24463,17,4502,67,5419,3,12596,10,4.512622185,471.943712,20656,17705,8832,34241,11775,1587
1171,29341,124,24257,17,4479,48,4915,14,12998,3,4.610363504,459.6738218,21223,16108,8715,33933,12340,1695
1565,24521,146,22526,13,4300,64,4952,5,12181,20,4.489039412,461.6903085,19815,17868,7616,30800,11955,1407
1464,23646,151,23311,28,4062,81,4916,27,11430,33,4.343979656,464.3162655,19628,17369,6947,32144,10875,1387
1260,22588,151,23097,19,4027,67,4729,11,11136,28,3.941157522,453.8215355,18813,17061,7187,40439,12736,1490
